                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     50,               0.048438,               0.040883,               0.029598,               0.048232,                0.23035,                0.27093,                0.19454,               0.093268,                0.23327,                0.26054,                0.19191,               0.095166,               0.057593,               0.031381,               0.015131,               0.056344,               0.008383,               0.008383,               0.008383
                     51,                 0.0484,                0.04034,               0.029359,               0.048454,                0.25378,                0.26038,                0.16023,               0.082191,                0.24799,                0.25144,                0.15469,               0.078713,               0.056979,               0.032096,                0.01581,               0.057021,                0.00835,                0.00835,                0.00835
                     52,                0.04724,               0.040237,               0.028454,               0.047373,                0.26884,                0.27019,                0.18047,               0.094136,                0.26572,                0.26428,                 0.1804,               0.094177,               0.057916,               0.032044,               0.015635,               0.056649,               0.008317,               0.008317,               0.008317
                     53,               0.047648,               0.039917,               0.028731,               0.047406,                0.22118,                0.27322,                0.17648,               0.088814,                0.24636,                0.26476,                0.18155,               0.090157,               0.055524,               0.031067,               0.015651,               0.055147,               0.008284,               0.008284,               0.008284
                     54,               0.047361,               0.040267,               0.029051,               0.047374,                 0.2887,                0.27291,                0.17724,               0.093677,                0.28491,                0.26632,                0.17382,               0.091074,                0.05764,               0.031505,               0.015121,               0.057037,               0.008251,               0.008251,               0.008251
                     55,               0.046107,               0.039201,               0.028184,               0.046631,                0.28777,                 0.2699,                0.19176,               0.095614,                0.29525,                0.25081,                0.18546,               0.099687,               0.056639,               0.030806,               0.015141,               0.055378,               0.008218,               0.008218,               0.008218
                     56,               0.047845,                0.03934,               0.028493,               0.046126,                0.25716,                0.29716,                 0.2248,                0.11399,                0.25473,                0.28335,                0.21866,                0.11541,               0.057209,               0.031045,               0.015224,               0.054783,               0.008185,               0.008185,               0.008185
                     57,               0.046677,               0.039848,               0.028304,               0.045417,                0.24763,                0.28497,                0.18818,               0.096504,                0.26218,                0.28515,                0.19011,                0.09987,               0.055349,               0.030369,               0.015605,               0.055178,               0.008152,               0.008152,               0.008152
                     58,               0.045939,               0.038507,               0.028805,               0.044855,                0.23878,                0.29154,                0.21805,                0.11215,                 0.2375,                0.28797,                0.21345,                0.11668,               0.055765,               0.029891,               0.015189,               0.054804,               0.008119,               0.008119,               0.008119
                     59,               0.045302,               0.038228,               0.027859,                0.04382,                0.27538,                0.29724,                0.21486,                0.11471,                0.29185,                0.27762,                0.20815,                0.11508,               0.055919,               0.030614,               0.015221,               0.053895,               0.008086,               0.008086,               0.008086
                     60,               0.045746,               0.038126,               0.028381,               0.043732,                0.26708,                0.29759,                0.21506,                 0.1122,                0.28558,                0.29418,                0.21751,                0.11752,               0.055711,               0.030242,               0.015137,               0.054355,               0.008053,               0.008053,               0.008053
                     61,               0.046135,               0.037566,               0.027469,               0.043508,                0.25985,                0.28678,                0.20331,                0.10866,                0.25526,                0.27706,                0.19998,                0.11224,               0.055377,               0.029934,               0.015211,               0.055227,                0.00802,                0.00802,                0.00802
                     62,               0.045374,               0.037689,               0.027721,               0.043416,                0.25887,                0.29109,                0.19916,                0.10366,                0.24825,                0.28733,                0.19402,                0.10565,               0.056722,               0.030865,               0.015375,               0.056384,               0.007987,               0.007987,               0.007987
                     63,                0.04482,               0.038415,               0.027742,               0.042901,                0.28517,                0.30192,                0.22388,                0.11933,                0.28787,                0.29562,                0.21972,                0.11997,               0.055296,               0.029288,               0.015072,                 0.0535,               0.007954,               0.007954,               0.007954
                     64,               0.044592,               0.037962,                 0.0286,               0.041711,                0.23818,                0.30383,                0.20178,                0.10761,                0.24267,                 0.3047,                0.20517,                0.11322,               0.054559,               0.029941,               0.015646,                0.05357,               0.007921,               0.007921,               0.007921
                     65,               0.044041,               0.036503,               0.026936,               0.040952,                0.28262,                0.31718,                0.23069,                0.12435,                0.29566,                0.30373,                0.22823,                0.12614,               0.055868,               0.029784,               0.015016,               0.054011,               0.007888,               0.007888,               0.007888
                     66,               0.044111,               0.036929,               0.026806,                0.04188,                0.29524,                0.30226,                0.23591,                0.12863,                0.30233,                0.29578,                0.23351,                0.12976,                0.05506,               0.029612,               0.015075,               0.053782,               0.007855,               0.007855,               0.007855
                     67,               0.044283,               0.036656,               0.027298,                0.04104,                0.25739,                0.30061,                0.22649,                0.12248,                0.27039,                0.29686,                 0.2311,                0.12653,               0.055533,               0.029943,               0.015077,                0.05461,               0.007822,               0.007822,               0.007822
                     68,               0.043536,               0.036152,               0.027469,               0.039394,                0.26503,                0.29501,                0.21371,                0.10976,                0.27265,                0.27684,                0.21397,                0.11762,               0.055502,               0.029386,                0.01602,                 0.0534,               0.007789,               0.007789,               0.007789
                     69,               0.043916,               0.036217,               0.027106,               0.039842,                0.26755,                0.30587,                0.22885,                0.12311,                0.27557,                0.30071,                0.22961,                0.12698,               0.055041,               0.029232,               0.015091,               0.053341,               0.007756,               0.007756,               0.007756
                     70,               0.042708,               0.035632,               0.026463,               0.039211,                 0.3027,                0.30689,                0.24209,                0.13286,                0.33214,                0.28213,                0.24048,                 0.1373,               0.054986,               0.029962,               0.015129,               0.052883,               0.007723,               0.007723,               0.007723
                     71,               0.043254,               0.036048,               0.026554,               0.039294,                0.32135,                0.31662,                0.23651,                0.12805,                0.32743,                 0.3122,                0.23619,                0.13455,               0.054692,               0.028784,               0.014953,               0.052922,                0.00769,                0.00769,                0.00769
                     72,               0.041993,               0.034953,                0.02674,               0.038499,                 0.2881,                0.32896,                  0.243,                0.13189,                 0.2907,                0.32675,                0.24123,                0.13758,               0.053694,                 0.0287,               0.014896,               0.052852,               0.007657,               0.007657,               0.007657
                     73,               0.042679,               0.035353,               0.026343,               0.037144,                0.33077,                 0.3359,                0.26901,                0.14709,                  0.334,                0.32623,                0.26598,                0.15087,               0.057428,                0.02985,               0.014861,               0.053341,               0.007624,               0.007624,               0.007624
                     74,               0.042126,               0.035385,               0.026434,               0.037273,                0.33033,                0.31535,                0.24744,                0.13297,                0.33337,                0.30743,                0.24518,                0.13995,               0.054213,               0.028665,               0.014965,               0.051493,               0.007591,               0.007591,               0.007591
                     75,               0.041749,                0.03473,               0.026128,               0.037638,                0.30207,                0.33807,                0.25578,                0.14372,                0.30617,                0.33516,                0.25164,                0.14439,               0.054378,               0.028593,               0.014817,               0.051867,               0.007558,               0.007558,               0.007558
                     76,               0.041282,               0.033636,               0.026292,               0.036348,                0.31429,                0.32881,                0.26145,                0.14677,                0.30199,                0.32409,                 0.2561,                0.14727,               0.053869,                0.02891,               0.014816,               0.051674,               0.007525,               0.007525,               0.007525
                     77,               0.041398,               0.034373,               0.025568,               0.036774,                 0.3425,                0.30898,                0.26305,                0.14623,                0.34612,                0.30173,                0.26155,                0.15255,               0.054388,               0.028996,               0.014845,               0.052758,               0.007492,               0.007492,               0.007492
                     78,               0.041244,                0.03332,               0.025881,               0.035703,                0.29707,                   0.35,                0.25533,                0.14444,                0.29737,                0.33547,                 0.2517,                0.14544,               0.054361,               0.028573,               0.014777,               0.052104,               0.007459,               0.007459,               0.007459
                     79,               0.041524,               0.034311,               0.026161,               0.035935,                0.34204,                0.33651,                0.27372,                0.15254,                0.35001,                0.33443,                 0.2721,                0.15518,               0.055067,               0.028346,               0.014572,               0.052573,               0.007426,               0.007426,               0.007426
                     80,               0.040641,                0.03372,               0.026272,               0.035052,                0.24982,                 0.3179,                0.21634,                0.11737,                0.24679,                0.32074,                0.21697,                0.12403,               0.054283,               0.028816,               0.015395,               0.052296,               0.007393,               0.007393,               0.007393
                     81,               0.040283,               0.033657,               0.025588,               0.035591,                0.28787,                0.34659,                0.25383,                0.13886,                0.29829,                0.34462,                0.25481,                0.14882,               0.054172,               0.028128,               0.014983,               0.052539,                0.00736,                0.00736,                0.00736
                     82,               0.041374,               0.033475,               0.025456,               0.034452,                0.33952,                0.35023,                0.27126,                0.14996,                0.34643,                 0.3387,                0.26467,                0.15065,               0.054576,               0.028744,               0.014847,               0.051545,               0.007327,               0.007327,               0.007327
                     83,               0.041372,               0.033599,               0.025188,               0.034157,                0.31093,                0.30582,                0.23914,                0.13197,                0.31153,                0.30691,                0.23885,                0.13802,               0.054598,               0.028839,               0.015091,                0.05423,               0.007294,               0.007294,               0.007294
                     84,               0.040054,               0.032975,               0.025375,               0.033778,                0.35481,                0.36666,                0.29105,                 0.1663,                0.34918,                0.35942,                0.28153,                 0.1625,               0.054752,               0.029028,               0.014825,               0.051266,               0.007261,               0.007261,               0.007261
                     85,               0.039926,               0.033616,               0.024422,               0.034209,                0.32707,                0.36529,                0.28884,                  0.163,                0.33437,                0.34618,                0.28336,                0.16098,               0.054872,               0.028391,               0.014799,               0.051105,               0.007228,               0.007228,               0.007228
                     86,               0.039974,               0.032717,               0.024397,               0.031496,                0.33669,                0.35112,                 0.2869,                0.16355,                0.35218,                0.33686,                 0.2869,                0.16644,               0.054693,               0.027946,               0.014684,                0.05238,               0.007195,               0.007195,               0.007195
                     87,               0.039231,                0.03239,                0.02579,               0.033224,                0.32256,                0.33333,                0.26764,                0.15264,                0.32618,                0.33386,                0.26793,                0.15254,               0.053475,               0.028414,               0.015103,               0.049394,               0.007162,               0.007162,               0.007162
