                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     35,               0.044652,               0.029487,               0.023439,               0.030124,                0.34918,                 0.3513,                0.27392,                0.13328,                0.35301,                0.33763,                0.27058,                0.14385,               0.059389,               0.030807,               0.014121,               0.045765,               0.008878,               0.008878,               0.008878
                     36,               0.044515,               0.029392,                0.02334,               0.028616,                0.26549,                0.30288,                0.20664,                0.10076,                0.28036,                0.29611,                0.20539,                0.10662,               0.058128,               0.031846,               0.015517,               0.048685,               0.008845,               0.008845,               0.008845
                     37,               0.044172,               0.029996,                0.02289,               0.030056,                0.36837,                0.32108,                0.27845,                0.13859,                0.37357,                0.32143,                0.27616,                0.15223,               0.057107,               0.029863,               0.014204,               0.044118,               0.008812,               0.008812,               0.008812
                     38,               0.044441,               0.029936,               0.023118,               0.030068,                0.37665,                0.39004,                0.31489,                0.16061,                0.37833,                0.38758,                0.31111,                0.17952,               0.055527,               0.027023,               0.013871,               0.042476,               0.008779,               0.008779,               0.008779
                     39,               0.044573,               0.028983,               0.023404,               0.027688,                 0.3912,                  0.373,                0.30903,                0.15103,                0.40548,                0.36715,                0.31137,                0.16692,               0.057897,               0.027737,               0.013799,                0.04245,               0.008746,               0.008746,               0.008746
                     40,               0.043702,                0.02935,               0.023493,               0.027085,                0.41272,                0.35664,                0.30671,                0.15777,                0.42605,                  0.351,                0.30635,                 0.1718,                0.05768,               0.029125,               0.014058,                0.04528,               0.008713,               0.008713,               0.008713
                     41,               0.042837,               0.029372,                0.02313,               0.026945,                0.41658,                0.40343,                0.35225,                0.18189,                0.42434,                0.40642,                0.35655,                0.20153,               0.055234,               0.026337,               0.013601,               0.042223,                0.00868,                0.00868,                0.00868
                     42,               0.043992,               0.029072,               0.022655,               0.026211,                0.44746,                0.39965,                0.34768,                0.17444,                0.43897,                0.39495,                0.34168,                0.18914,               0.056972,               0.026831,               0.013769,               0.042911,               0.008647,               0.008647,               0.008647
                     43,                0.04251,               0.028473,               0.022773,               0.026686,                0.36896,                0.36876,                0.30026,                 0.1479,                0.36563,                0.36006,                0.30039,                0.16547,               0.056518,               0.027552,               0.014056,               0.043161,               0.008614,               0.008614,               0.008614
                     44,               0.042824,               0.029011,               0.023078,               0.024957,                0.43165,                0.40252,                0.35695,                 0.1891,                0.42871,                0.40342,                0.35884,                0.20047,               0.055583,               0.026654,               0.013943,               0.042347,               0.008581,               0.008581,               0.008581
